Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
ASUS,i 7,HQ,7,GTX1050Ti,1,4 GB,15.6,FHD,DDR4,16 GB,128 GB,1024 GB,SSD,Plastic,Very good,735
ASUS,i 5,U,6,Geforce 930m,1,4 GB,15.6,FHD,DDR3,8 GB,128 GB,512 GB,SSD,Aluminum,Good,325
LENOVO,i 5,H,9,GTX1050,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,480
DELL,i 7,U,8,Geforce MX250,1,8 GB,17.3,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,675
ACER,i 7,H,9,NVIDIA GTX 1650,1,6 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Aluminum,Very good,580
HP,i 5,G,11,INTEL XE,0,4 GB,14.0,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Aluminum,Very good,480
SAMSUNG,i 7,G,11,INTEL XE,0,8 GB,13.3,HD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,720
DELL,i 7,U,10,intel UHDGraphics,0,8 GB,13.3,4K,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Good,750
ACER,i 7,H,9,RTX 2070,1,8 GB,17.3,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Good,880
ACER,i 7,H,8,GTX 1050,1,6 GB,15.6,FHD,DDR4,8 GB,128 GB,1024 GB,M.2,Plastic,Very good,512
ACER,i 7,H,9,RTX 2060,1,8 GB,15.6,FHD,DDR4,16 GB,256 GB,0 GB,M.2,Plastic,Very good,795
HP,i 3,U,8,intel UHDGraphics,0,4 GB,14.0,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Aluminum,Very good,280
ASUS,RYZEN 9,HQ,11,RTX 3050Ti,1,8 GB,14.0,FHD,DDR5,16 GB,1024 GB,0 GB,M.2,Plastic,Very good,990
HP,i 7,H,10,RTX 2060,1,6 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Very good,1080
MICROSOFT,i 5,G,10,intel UHDGraphics,0,4 GB,13.3,2K,DDR4,8 GB,128 GB,0 GB,M.2,Aluminum,Very good,535
SAMSUNG,i 5,X,10,intel UHDGraphics,0,4 GB,13.3,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,550
ASUS,RYZEN 5,U,9,AMD VEGA 8,1,8 GB,14.0,FHD,DDR4,16 GB,256 GB,0 GB,M.2,Aluminum,Very good,435
ASUS,i 7,U,10,Geforce MX250,1,8 GB,13.3,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,690
HP,i 5,G,11,INTEL XE,0,4 GB,14.0,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Aluminum,Very good,495
RAZER,i 7,G,11,INTEL XE,0,8 GB,13.3,FHD,DDR5,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,740
DELL,i 7,G,11,INTEL XE MAX,0,12 GB,15.6,4K,DDR5,16 GB,1024 GB,0 GB,M.2,Aluminum,Very good,830
LENOVO,i 5,U,8,intel UHDGraphics,0,6 GB,15.6,FHD,DDR4,12 GB,256 GB,0 GB,M.2,Plastic,Very good,430
ASUS,i 5,U,10,intel UHDGraphics,0,4 GB,14.0,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,420
ASUS,i 7,H,10,GTX 1660 TI,1,8 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,840
HP,i 7,U,8,MX 150,1,8 GB,15.6,4K,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,650
ASUS,i 5,G,11,INTEL XE,0,8 GB,14.0,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,495
DELL,i 7,U,10,intel UHDGraphics,0,8 GB,13.3,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,600
LENOVO,i 7,U,8,intel UHDGraphics,0,8 GB,14.0,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,580
